Date,Gold,Oil,interest_rate,USD_IDR
2022-08-25,1757.699951171875,92.5199966430664,2.33,14843.0
2022-08-26,1736.0999755859375,93.05999755859375,2.33,14843.0
2022-08-29,1736.5999755859375,97.01000213623047,2.33,14870.0
2022-08-30,1723.199951171875,91.63999938964844,2.33,14870.0
2022-08-31,1712.800048828125,89.55000305175781,2.33,14870.0
2022-09-01,1696.5999755859375,86.61000061035156,2.33,14870.0
2022-09-02,1709.800048828125,86.87000274658203,2.33,14870.0
2022-09-05,1709.800048828125,86.87000274658203,2.33,14891.0
2022-09-06,1700.4000244140625,86.87999725341797,2.33,14891.0
2022-09-07,1715.300048828125,81.94000244140625,2.33,14891.0
2022-09-08,1708.0,83.54000091552734,2.33,14891.0
2022-09-09,1716.199951171875,86.79000091552734,2.33,14891.0
2022-09-12,1728.0999755859375,87.77999877929688,2.33,14904.0
2022-09-13,1705.0,87.30999755859375,2.33,14904.0
2022-09-14,1696.5,88.4800033569336,2.33,14904.0
2022-09-15,1665.4000244140625,85.0999984741211,2.33,14904.0
2022-09-16,1671.699951171875,85.11000061035156,2.33,14904.0
2022-09-19,1666.199951171875,85.7300033569336,2.33,15016.0
2022-09-20,1659.699951171875,84.44999694824219,2.33,15016.0
2022-09-21,1664.5999755859375,82.94000244140625,2.33,15016.0
2022-09-22,1670.800048828125,83.48999786376953,3.08,15016.0
2022-09-23,1645.300048828125,78.73999786376953,3.08,15016.0
2022-09-26,1623.300048828125,76.70999908447266,3.08,15203.0
2022-09-27,1626.699951171875,78.5,3.08,15203.0
2022-09-28,1660.4000244140625,82.1500015258789,3.08,15203.0
2022-09-29,1658.5,81.2300033569336,3.08,15203.0
2022-09-30,1662.4000244140625,79.48999786376953,3.08,15203.0
2022-10-03,1692.9000244140625,83.62999725341797,3.08,15249.0
2022-10-04,1721.0999755859375,86.5199966430664,3.08,15249.0
2022-10-05,1711.4000244140625,87.76000213623047,3.08,15249.0
2022-10-06,1711.699951171875,88.44999694824219,3.08,15249.0
2022-10-07,1700.5,92.63999938964844,3.08,15249.0
2022-10-10,1667.300048828125,91.12999725341797,3.08,15375.0
2022-10-11,1678.699951171875,89.3499984741211,3.08,15375.0
2022-10-12,1670.300048828125,87.2699966430664,3.08,15375.0
2022-10-13,1670.0,89.11000061035156,3.08,15375.0
2022-10-14,1641.699951171875,85.61000061035156,3.08,15375.0
2022-10-17,1657.0,85.45999908447266,3.08,15526.0
2022-10-18,1649.0,82.81999969482422,3.08,15526.0
2022-10-19,1627.5,85.55000305175781,3.08,15526.0
2022-10-20,1630.800048828125,85.9800033569336,3.08,15526.0
2022-10-21,1651.0,85.05000305175781,3.08,15526.0
2022-10-24,1648.699951171875,84.58000183105469,3.08,15580.0
2022-10-25,1652.800048828125,85.31999969482422,3.08,15580.0
2022-10-26,1664.0,87.91000366210938,3.08,15580.0
2022-10-27,1660.699951171875,89.08000183105469,3.08,15580.0
2022-10-28,1639.5999755859375,87.9000015258789,3.08,15580.0
2022-10-31,1635.9000244140625,86.52999877929688,3.08,15672.0
2022-11-01,1645.0,88.37000274658203,3.08,15672.0
2022-11-02,1645.699951171875,90.0,3.08,15672.0
2022-11-03,1627.300048828125,88.16999816894531,3.83,15672.0
2022-11-04,1672.5,92.61000061035156,3.83,15672.0
2022-11-07,1676.5,91.79000091552734,3.83,15632.0
2022-11-08,1712.0999755859375,88.91000366210938,3.83,15632.0
2022-11-09,1710.0999755859375,85.83000183105469,3.83,15632.0
2022-11-10,1750.300048828125,86.47000122070312,3.83,15632.0
2022-11-11,1766.0,88.95999908447266,3.83,15632.0
2022-11-14,1773.5999755859375,85.87000274658203,3.83,15615.0
2022-11-15,1773.800048828125,86.91999816894531,3.83,15615.0
2022-11-16,1773.0,85.58999633789062,3.83,15615.0
2022-11-17,1760.800048828125,81.63999938964844,3.83,15615.0
2022-11-18,1751.9000244140625,80.08000183105469,3.83,15615.0
2022-11-21,1737.4000244140625,79.7300033569336,3.83,15685.0
2022-11-22,1738.300048828125,80.94999694824219,3.83,15685.0
2022-11-23,1744.9000244140625,77.94000244140625,3.83,15685.0
2022-11-25,1753.300048828125,76.27999877929688,3.83,15685.0
2022-11-28,1740.0999755859375,77.23999786376953,3.83,15587.0
2022-11-29,1748.4000244140625,78.19999694824219,3.83,15587.0
2022-11-30,1746.0,80.55000305175781,3.83,15587.0
2022-12-01,1801.0999755859375,81.22000122070312,3.83,15587.0
2022-12-02,1795.9000244140625,79.9800033569336,3.83,15587.0
2022-12-05,1767.4000244140625,76.93000030517578,3.83,15579.0
2022-12-06,1769.300048828125,74.25,3.83,15579.0
2022-12-07,1785.5,72.01000213623047,3.83,15579.0
2022-12-08,1788.699951171875,71.45999908447266,3.83,15579.0
2022-12-09,1798.0999755859375,71.0199966430664,3.83,15579.0
2022-12-12,1780.5,73.16999816894531,3.83,15627.0
